"ticker","year","sen"
PVP,2010,0.0
PVS,2010,0.0
PVT,2010,0.0
PVV,2010,0.0
PVY,2010,0.0
LO5,2010,0.0
PVX,2010,0.0
HFX,2010,0.0
NSC,2010,0.0
NSG,2010,0.0
NST,2010,0.0
HGM,2010,0.0
FCN,2010,0.0
HGT,2010,0.0
PXA,2010,0.0
PXC,2010,0.0
NTC,2010,0.0
NTB,2010,0.0
PXI,2010,0.0
HHC,2010,0.0
FDC,2010,0.0
PXM,2010,0.0
PXL,2010,0.0
HHG,2010,0.0
NTL,2010,0.0
PXS,2010,0.0
NTP,2010,0.0
PXT,2010,0.0
NTT,2010,0.0
NTW,2010,0.0
HHS,2010,0.0
DAD,2010,0.0
DAC,2010,0.0
HIG,2010,0.0
DAE,2010,0.0
DAG,2010,0.0
DAN,2010,0.0
DAS,2010,0.0
HJC,2010,0.0
DBC,2010,0.0
DBD,2010,0.0
NVT,2010,0.0
DBM,2010,0.0
HJS,2010,0.0
DC2,2010,0.0
DC1,2010,0.0
DC4,2010,0.0
UDC,2010,0.0
DBT,2010,0.0
UDJ,2010,0.0
LSG,2010,0.0
DCF,2010,0.0
DCL,2010,0.0
LSS,2010,0.0
JOS,2010,0.0
DCR,2010,0.0
DCT,2010,0.0
DCS,2010,0.0
SAB,2010,0.0
SAF,2010,0.0
LTC,2010,0.0
HLA,2010,0.0
UEM,2010,0.0
HLC,2010,0.0
LTG,2010,0.0
SAM,2010,0.0
HLB,2010,0.0
SAL,2010,0.0
HLD,2010,0.0
SAP,2010,0.0
SAV,2010,0.0
DDM,2010,0.0
DDN,2010,0.0
SBB,2010,0.0
SBA,2010,0.0
HLY,2010,0.0
SBD,2010,0.0
HMC,2010,0.0
SBM,2010,0.0
HMH,2010,0.0
HMG,2010,0.0
SBT,2010,0.0
SC5,2010,0.0
SBV,2010,0.0
LUT,2010,0.0
BAL,2010,0.0
SCC,2010,0.0
SCD,2010,0.0
BAX,2010,0.0
SCJ,2010,0.0
SCL,2010,0.0
SCO,2010,0.0
SD2,2011,0.185483871
HNF,2011,0.185483871
SD1,2011,0.185483871
BBC,2011,0.185483871
HNI,2011,0.185483871
SD4,2011,0.185483871
SCR,2011,0.185483871
SD3,2011,0.185483871
SD5,2011,0.185483871
SD8,2011,0.185483871
SD7,2011,0.185483871
SD9,2011,0.185483871
HNP,2011,0.185483871
HNR,2011,0.185483871
SDB,2011,0.185483871
SDA,2011,0.185483871
BBS,2011,0.185483871
SDC,2011,0.185483871
BBT,2011,0.185483871
SDG,2011,0.185483871
SDJ,2011,0.185483871
SDK,2011,0.185483871
SDN,2011,0.185483871
SDP,2011,0.185483871
DGC,2011,0.185483871
SDT,2011,0.185483871
BCC,2011,0.185483871
BCF,2011,0.185483871
