Company_Code,ticker,company_name,sector
DTK,DTK,Tổng công ty Điện lực TKV - CTCP,Sản xuất & Phân phối Điện
DVW,DVW,Công ty Cổ phần Dịch vụ và Xây dựng Cấp nước Đồng Nai,Xây dựng
BSP,BSP,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Sản xuất bia
SVG,SVG,Công ty Cổ phần Hơi Kỹ nghệ Que hàn,Công nghiệp phức hợp
C69,C69,Công ty cổ phần Xây dựng 1369,Xây dựng
IBC,IBC,Công ty cổ phần Đầu tư APAX HOLDINGS,Tài chính đặc biệt
MLC,MLC,Công ty Cổ phần Môi trường Đô thị tỉnh Lào Cai,Chất thải & Môi trường
MLS,MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Nuôi trồng nông & hải sản
VAV,VAV,Công ty cổ phần VIWACO,Nước
MPT,MPT,Công ty Cổ phần Tập đoàn Trường Tiền,Hàng May mặc
MRF,MRF,Công ty cổ phần Merufa,Thiết bị y tế
MSR,MSR,CÔNG TY CỔ PHẦN MASAN HIGH-TECH MATERIALS,Khai khoáng
MTA,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,Khai khoáng
CAB,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,Dịch vụ truyền thông
TCH,TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản
MVC,MVC,Công ty cổ phần Vật liệu và Xây dựng Bình Dương,Vật liệu xây dựng & Nội thất
CBS,CBS,Công ty Cổ phần Mía đường Cao Bằng,Thực phẩm
TDM,TDM,Công ty cổ phần Nước Thủ Dầu Một,Nước
KSV,KSV,Tổng công ty Khoáng sản TKV - CTCP,Khai khoáng
CCR,CCR,Công ty Cổ phần Cảng Cam Ranh,"Kho bãi, hậu cần và bảo dưỡng"
CCV,CCV,Công ty cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Xây dựng
CET,CET,CÔNG TY CỔ PHẦN HTC HOLDING,Hàng cá nhân
AAT,AAT,Công ty cổ phần Tiên Sơn Thanh Hoá,Hàng May mặc
AAV,AAV,Công ty cổ phần Việt Tiên Sơn Địa ốc,Bất động sản
KVC,KVC,Công ty Cổ phần sản xuất xuất nhập khẩu INOX Kim vĩ,Thép và sản phẩm thép
GND,GND,Công ty cổ phần Gạch ngói Đồng Nai,Vật liệu xây dựng & Nội thất
VLC,VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP,Nuôi trồng nông & hải sản
CFV,CFV,Công ty TNHH Một thành viên Cà phê Thắng Lợi,Đồ uống & giải khát
THN,THN,Công ty cổ phần Cấp nước Thanh Hóa,Nước
THU,THU,Công ty Cổ phần Môi trường và Công trình đô thị Thanh Hóa,Chất thải & Môi trường
VPG,VPG,Công ty cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Khai khoáng
VPR,VPR,Công ty Cổ phần In và Thương mại Vina,"Sách, ấn bản & sản phẩm văn hóa"
CLM,CLM,Công ty cổ phần Xuất nhập khẩu Than - Vinacomin,Khai thác Than
VRE,VRE,Công ty Cổ phần Vincom Retail,Bất động sản
TOT,TOT,Công ty Cổ phần Transimex Logistics,Dịch vụ vận tải
CNN,CNN,"Công ty cổ phần Tư vấn công nghệ, thiết bị và kiểm định xây dựng - CONINCO",Xây dựng
VTR,VTR,Công ty cổ phần Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,Vận tải hành khách & Du lịch
PIS,PIS,Tổng công ty PISICO Bình Định - CTCP,Lâm sản và Chế biến gỗ
LBC,LBC,CTCP Thương mại - Đầu tư Long Biên,Dịch vụ giải trí
AMD,AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,Bất động sản
EVG,EVG,Công ty Cổ phần Đầu tư Everland,Xây dựng
TTS,TTS,Công ty cổ phần Cán thép Thái Trung,Thép và sản phẩm thép
PLP,PLP,Công ty cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,"Nhựa, cao su & sợi"
NHT,NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Đồ chơi
PMG,PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Phân phối xăng dầu & khí đốt
TVA,TVA,Công ty Cổ phần Sứ Viglacera Thanh Trì,Vật liệu xây dựng & Nội thất
PND,PND,Công ty cổ phần Xăng dầu Dầu khí Nam Định,Phân phối xăng dầu & khí đốt
POW,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - Công ty Cổ phần,Sản xuất & Phân phối Điện
ATG,ATG,Công ty Cổ phần An Trường An,Khai khoáng
AVC,AVC,Công ty cổ phần Thủy điện A Vương,Sản xuất & Phân phối Điện
PTX,PTX,Công ty cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Phân phối xăng dầu & khí đốt
HES,HES,Công ty cổ phần Dịch vụ Giải trí Hà Nội,Dịch vụ giải trí
NSH,NSH,Công ty Cổ phần Nhôm Sông Hồng,Nhôm
NSL,NSL,Công ty Cổ phần cấp nước Sơn La,Nước
HHV,HHV,Công ty cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng
HID,HID,Công ty Cổ phần Halcom Việt Nam,Xây dựng
LQN,LQN,Công ty cổ phần LICOGI Quảng Ngãi,Xây dựng
DAH,DAH,Công ty cổ phần Tập đoàn Khách sạn Đông Á,Khách sạn
NVL,NVL,Công ty cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản
NVP,NVP,Công ty cổ phần Nước sạch Vĩnh Phúc,Nước
FGL,FGL,Công ty cổ phần Cà phê Gia Lai,Đồ uống & giải khát
DDG,DDG,Công ty cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Phân phối xăng dầu & khí đốt
FID,FID,Công ty Cổ phần đầu tư và phát triển doanh nghiệp Việt Nam,Vật liệu xây dựng & Nội thất
FIT,FIT,Công ty cổ phần Tập đoàn F.I.T,Dược phẩm
BCG,BCG,Công ty Cổ phần Bamboo Capital,Tài chính đặc biệt
SEP,SEP,Công ty Cổ phần Tổng Công ty Thương mại Quảng Trị,"Nhựa, cao su & sợi"
HPW,HPW,Công ty cổ phần Cấp nước Hải Phòng,Nước
HPX,HPX,Công ty cổ phần Đầu tư Hải Phát,Bất động sản
BDT,BDT,Công ty cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Vật liệu xây dựng & Nội thất
BDW,BDW,Công ty Cổ phần Cấp thoát nước Bình Định,Nước
X20,X20,Công ty Cổ phần X20,Hàng May mặc
SIP,SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản
HTT,HTT,Công ty Cổ phần Thương mại Hà Tây,Bán lẻ phức hợp
SJF,SJF,Công Ty Cổ phần Đầu tư Sao Thái Dương,Lâm sản và Chế biến gỗ
HVH,HVH,Công ty cổ phần Đầu tư và Công nghệ HVC,Xây dựng
DNH,DNH,Công ty cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Sản xuất & Phân phối Điện
FT1,FT1,Công ty cổ phần Phụ tùng máy số 1,Máy công nghiệp
FSO,FSO,Công ty cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Xe tải & Đóng tàu
BLN,BLN,Công ty cổ phần Vận tải và dịch vụ Liên Ninh,Vận tải hành khách & Du lịch
BMN,BMN,CTCP 715,Xây dựng
DRI,DRI,Công ty Cổ phần Đầu tư cao su Đắk Lắk,"Nhựa, cao su & sợi"
SPB,SPB,Công ty cổ phần Sợi Phú Bài,Hàng May mặc
DS3,DS3,Công ty Cổ phần Quản lý Đường sông số 3,"Kho bãi, hậu cần và bảo dưỡng"
MDA,MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,Chất thải & Môi trường
SPI,SPI,Công ty Cổ phần Spiral Galaxy,Khai khoáng
DTP,DTP,Công ty cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm
QNU,QNU,Công ty cổ phần Môi trường Đô thị Quảng Nam,Chất thải & Môi trường
QNW,QNW,Công ty cổ phần Cấp thoát nước và Xây dựng Quảng Ngãi,Nước
BSA,BSA,Công ty Cổ phần Thủy Điện Buôn Đôn,Sản xuất & Phân phối Điện
KDM,KDM,Công ty Cổ phần - Tổng Công ty Phát triển khu đô thị Dân cư Mới,Xây dựng
KHD,KHD,"Công ty cổ phần khai thác, chế biến khoáng sản Hải Dương",Khai khoáng
KHW,KHW,Công ty Cổ phần Cấp nước Khánh Hòa,Nước
XHC,XHC,Công ty cổ phần Xuân Hòa Việt Nam,Thiết bị gia dụng
TA9,TA9,Công ty Cổ phần Xây lắp Thành An 96,Xây dựng
MVB,MVB,Tổng công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,Khai khoáng
VGR,VGR,Công ty cổ phần Cảng Xanh Vip,"Kho bãi, hậu cần và bảo dưỡng"
MVN,MVN,Tổng Công ty Hàng hải Việt Nam - Công ty Cổ phần,Vận tải Thủy
CBI,CBI,Công ty Cổ phần Gang thép Cao Bằng,Thép và sản phẩm thép
VHD,VHD,Công ty Cổ phần Đầu tư phát triển Nhà và Đô thị Vinaconex,Bất động sản
TDG,TDG,Công ty Cổ phần Đầu tư TDG GLOBAL,Phân phối xăng dầu & khí đốt
VHM,VHM,Công ty cổ phần Vinhomes,Bất động sản
GKM,GKM,Công ty cổ phần Khang Minh Group,Vật liệu xây dựng & Nội thất
VIH,VIH,Công ty Cổ phần Viglacera Hà Nội,Vật liệu xây dựng & Nội thất
CCT,CCT,Công ty Cổ phần Cảng Cần Thơ,"Kho bãi, hậu cần và bảo dưỡng"
VIM,VIM,Công ty Cổ phần Khoáng sản Viglacera,Khai khoáng
